Average of BLK,Column Labels,,,,,
Row Labels,C,PF,PG,SF,SG,Grand Total
1997-98,0.940625,0.467226891,0.11588785,0.342574257,0.172566372,0.396268657
1998-99,0.773333333,0.501923077,0.083333333,0.303191489,0.215584416,0.380566802
1999-00,0.904597701,0.493859649,0.091089109,0.336633663,0.227160494,0.406198347
2000-01,0.918691589,0.548623853,0.085925926,0.318095238,0.254411765,0.420610687
2001-02,0.82952381,0.624210526,0.118181818,0.3875,0.214851485,0.438319672
2002-03,0.831730769,0.525,0.110784314,0.338554217,0.214444444,0.410828025
2003-04,0.753968254,0.624,0.110714286,0.27244898,0.204,0.414438503
2004-05,0.729752066,0.565289256,0.1,0.294949495,0.200892857,0.390730838
2005-06,0.696721311,0.478846154,0.101869159,0.351456311,0.175728155,0.371057514
2006-07,0.823469388,0.402459016,0.096808511,0.346835443,0.188679245,0.373346693
2007-08,0.770634921,0.52195122,0.129824561,0.315625,0.174561404,0.394938918
2008-09,0.8104,0.424793388,0.113888889,0.378125,0.210810811,0.400534759
2009-10,0.857142857,0.5,0.119827586,0.310185185,0.233628319,0.397122302
2010-11,0.737121212,0.490990991,0.139130435,0.380508475,0.198373984,0.395826377
2011-12,0.846218487,0.554716981,0.136283186,0.372815534,0.218367347,0.435435993
2012-13,0.791743119,0.533628319,0.152427184,0.302654867,0.184070796,0.394373866
2013-14,0.748571429,0.548739496,0.134513274,0.284496124,0.146212121,0.359698997
2014-15,0.849494949,0.491366906,0.131654676,0.263157895,0.195804196,0.360725552
2015-16,0.814851485,0.487603306,0.148,0.302884615,0.227586207,0.383950617
2016-17,0.843362832,0.454263566,0.164347826,0.316981132,0.196721311,0.393846154
2017-18,0.660483871,0.429508197,0.197857143,0.300892857,0.227272727,0.353834356
2018-19,0.781512605,0.397260274,0.217518248,0.337606838,0.212790698,0.371780029
2019-20,0.784848485,0.394160584,0.194230769,0.315454545,0.242857143,0.395666132
2020-21,0.872992701,0.411971831,0.224390244,0.295689655,0.261728395,0.415294118
2021-22,0.67890625,0.456953642,0.223026316,0.291025641,0.213131313,0.353375796
Grand Total,0.797574692,0.488862954,0.140573204,0.320573801,0.208642809,0.390878684
